Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Denbighshire	732.54	774.32	843.13	944.82	1006.98	1051.3	1078.33	1122.53	1162.43	1200.75	1232.31	68.22
Derby	756.18	797.78	836.88	903.82	903.82	943.99	966.66	1014.41	1065.13	1099.75	1127.21	49.07
Derbyshire	733.29	777.25	846.44	913.68	896.87	917.05	958.32	996.12	1030.98	1061.3	1077.22	46.90
Derbyshire Dales	129.67	136.54	144.35	170.6	179.39	186.31	195.87	204.33	214.67	221.75	228.78	76.43
Derwentside	195.81	206.81	232.47	238.18	244.12	250.2	250.34	250.6	250.83	-	-	#VALUE!
Devon	651.34	699.93	766.44	904.05	900.36	931.86	977.49	1023.93	1063.89	1094.67	1116.36	71.39
Doncaster	705.52	758.03	802.62	901.45	944.34	945.02	971.11	1006.23	1046.13	1090.63	1122.83	59.15
Dorset	688.14	725.58	792.63	915.57	918	952.92	999.99	1048.95	1096.2	1134.54	1168.29	69.78
Dover	119.5	125.05	135.9	142.83	152.02	159.4	168.95	178.44	189.89	198.55	204.52	71.15
Dudley	752.27	808.72	851.71	900.81	914.46	939.25	962.53	1009.23	1057.97	1108.65	1125.39	49.60
Dumfries & Galloway	 817 	 857 	 899 	 931 	 964 	 988 	" 1,018 "	" 1,049 "	" 1,049 "	" 1,049 "	" 1,049 "	28.40
Dundee City	" 1,056 "	" 1,046 "	" 1,079 "	" 1,089 "	" 1,135 "	" 1,180 "	" 1,211 "	" 1,211 "	" 1,211 "	" 1,211 "	" 1,211 "	14.68
Durham	692.19	720.9	827.55	903.42	884.16	924.84	967.41	995.49	1024.38	-	-	#VALUE!
Durham City	141.18	149.83	168.54	174.02	185.54	191.44	196.18	197.93	203	-	-	#VALUE!
Durham UA	-	-	-	-	-	-	-	-	-	1334.2	1360.56	#VALUE!
Ealing	633.17	672.57	711.12	889.6	950.31	996	1020.81	1040.22	1059.93	1059.93	1059.93	67.40
Easington	251.93	263.76	279.27	288.98	299.4	309.21	317.79	327.15	337.24	-	-	#VALUE!
East Ayrshire	 878 	 922 	 967 	" 1,014 "	" 1,064 "	" 1,116 "	" 1,171 "	" 1,189 "	" 1,189 "	" 1,189 "	" 1,189 "	35.36
East Cambridgeshire	87	91.99	132.55	142.2	149	153.89	160.02	165.62	171.6	180.02	185.59	113.32
East Devon	94.79	99.35	106.44	113.08	119.68	127.54	131.8	137.8	145.02	146.59	153.88	62.34
East Dorset	115.58	126.33	149.33	155.5	172.57	181.1	189.92	200.49	212.46	222.68	228.87	98.02
East Dunbartonshire	 830 	 872 	 915 	 966 	" 1,033 "	" 1,078 "	" 1,121 "	" 1,142 "	" 1,142 "	" 1,142 "	" 1,142 "	37.57
East Hampshire	139.75	143.52	147.99	154.78	161.21	168.49	173.72	176.49	179.69	181.45	186.11	33.17
East Hertfordshire	111.27	123.95	138.92	155.84	166.65	177.99	189.78	201.03	208.82	215.23	219.94	97.66
East Lindsey	95.32	99.42	107.97	111.6	114.63	118.54	121.46	126.63	133.58	137.9	142.58	49.58
East Lothian	 858 	 909 	 955 	 993 	" 1,043 "	" 1,069 "	" 1,096 "	" 1,118 "	" 1,118 "	" 1,118 "	" 1,118 "	30.26
